,VMHID,Metabolite_Subsystem,Subsystem,Metabolite Group
(3 4-dihydroxyphenyl)acetate,34dhpha,Amino acid metabolism,Amino acid metabolism,Benzenoids
(4-hydroxyphenyl)acetaldehyde,4hoxpacd,Amino acid metabolism,Amino acid metabolism,
(R)-3-hydroxybutyrate,bhb,Central metabolism,Central metabolism,
(R)-Acetoin,actn_R,Central metabolism,Fermentation,
(R)-Pantothenate,pnto_R,Vitamin and cofactor metabolism,Vitamin and cofactor metabolism,
(S)-propane-1 2-diol,12ppd_S,Central metabolism,Fermentation,
1 2-Diacyl-sn-glycerol,12dgr180,Lipid metabolism,Lipid metabolism,
1 5-Diaminopentane,15dap,Amino acid metabolism,Amino acid metabolism,
12-Dehydrocholate,12dhchol,Lipid metabolism,Lipid metabolism,
2 3-dihydroxicinnamic acid,dhcinnm,Amino acid metabolism,Amino acid metabolism,
2-Dehydro-3-deoxy-D-gluconate,2ddglcn,Carbohydrate metabolism,Carbohydrate metabolism,
2-Demethylmenaquinone 8,2dmmq8,Vitamin and cofactor metabolism,Vitamin and cofactor metabolism,
2-deoxy-D-ribose,drib,Carbohydrate metabolism,Carbohydrate metabolism,
2-deoxyadenosine,dad_2,Nucleotide metabolism,Nucleotide metabolism,
2-Hydroxyphenylacetate,2hyoxplac,Amino acid metabolism,Amino acid metabolism,
2-methylbutyrate,2mbut,Lipid metabolism,Lipid metabolism,
2-o-methylfucose,2omfuc,Glycan degradation,Glycan degradation,
2-O-methylxylose,2omxyl,Glycan degradation,Glycan degradation,
2-Oxobutanoate,2obut,Amino acid metabolism,Amino acid metabolism,
2-Oxoglutarate,akg,Central metabolism,TCA Cycle,
3-(2 3-Dihydroxyphenyl)propanoate,dhpppn,Amino acid metabolism,Amino acid metabolism,
3-(3-hydroxy-phenyl)propionate,3hpppn,Amino acid metabolism,Amino acid metabolism,
3-(n-Morpholino)Propanesulfonic Acid,mops,Inorganic ion metabolism,Inorganic ion metabolism,
3-Dehydrochenodeoxycholate,3dhcdchol,Lipid metabolism,Cholesterol and bile acid metabolism,Bile acid
3-Dehydrocholate,3dhchol,Lipid metabolism,Cholesterol and bile acid metabolism,Bile acid
3-deoxy-d-lyxo-heptulosaric aci,3ddlhept,Glycan degradation,Glycan degradation,
3-Deoxy-D-manno-2-octulosonate,kdo,Lipid metabolism,Lipid metabolism,
3-hydroxycinnamic acid,3hcinnm,Amino acid metabolism,Amino acid metabolism,
3-Hydroxyphenylacetate,3hphac,Amino acid metabolism,Amino acid metabolism,
3-methyl-2-oxopentanoate,3mop,Amino acid metabolism,Amino acid metabolism,
4-Aminobenzoate,4abz,Vitamin and cofactor metabolism,Vitamin and cofactor metabolism,
4-Aminobutanoate,4abut,Amino acid metabolism,Amino acid metabolism,
4-hydroxybenzoate,4hbz,Vitamin and cofactor metabolism,Vitamin and cofactor metabolism,
4-hydroxyphenylacetate,4hphac,Amino acid metabolism,Amino acid metabolism,
4-Hydroxyproline,4hpro_LT,Amino acid metabolism,Amino acid metabolism,
